gen [kWh],use [kWh]
19.772167205810547,10.871816635131836
17.552183151245117,13.768366813659668
13.295433044433594,19.23604965209961
4.18898344039917,28.359315872192383
0.2384166717529297,54.186649322509766
0.2376166582107544,82.61278533935547
0.22333332896232605,83.79280090332031
0.2513333261013031,63.6151008605957
0.26036664843559265,55.01133346557617
0.25956666469573975,62.41758346557617
0.2513166666030884,51.3744010925293
0.25243332982063293,27.028499603271484
0.25548332929611206,25.265316009521484
0.2547999918460846,32.06169891357422
0.25439998507499695,41.7530517578125
0.2539833188056946,38.14025115966797
0.25341665744781494,40.996498107910156
0.2519833445549011,39.68943405151367
0.24111667275428772,64.07586669921875
0.4414333403110504,66.8316650390625
5.485483169555664,43.981201171875
18.57488250732422,5.129749774932861
20.75553321838379,3.777600049972534
20.922332763671875,12.566666603088379
